Junior,Middle,Senior,Team Lead,Офис,Удалённо,Гибрид
70000,40000,100000,150000,2,2,
70000,40000,90000,120000,1,3,
70000,80000,130000,100000,1,3,
60000,50000,40000,100000,1,3,
50000,60000,70000,100000,,4,
50000,60000,90000,100000,,4,
50000,150000,120000,180000,1,3,
40000,100000,85000,,,3,
50000,100000,120000,,,3,
60000,50000,120000,,2,1,
60000,150000,,,,2,
40000,80000,,,1,1,
60000,,,,1,,
