Junior,Middle,Senior,Team Lead,Офис,Удалённо,Гибрид
,100000,110000,60000,1,1,
,90000,200000,140000,,3,
,160000,100000,160000,1,2,
,120000,120000,180000,1,2,
,90000,140000,100000,,3,
,,140000,180000,1,1,
,,,150000,,1,
