Зарплата,ДМС,Обучение,Фитнес,Ссылка,Работодатель
250000,1,1,,https://hh.ru/vacancy/94993676,Корпоративная Академия Росатома
110000,1,1,,https://hh.ru/vacancy/95595818,ООО Велесстрой
138000,,1,,https://hh.ru/vacancy/96516342,ООО ГК Триол
95000,1,,1,https://hh.ru/vacancy/95520013,АО ВПО ЗАЭС
