Зарплата,ДМС,Обучение,Фитнес,Ссылка,Работодатель
150000,1,1,,https://hh.ru/vacancy/107726058,ООО Лаборатория Наносемантика
180000,,,,https://hh.ru/vacancy/107501520,DragonFly Studio
80000,,,,https://hh.ru/vacancy/106435352,Garden of Dreams
