Senior,Senior +,Офис,Удалённо,Гибрид
180000,170000,,2,
180000,235000,,2,
120000,70000,1,1,
80000,150000,,2,
160000,150000,,2,
120000,160000,2,,
250000,75000,1,1,
200000,250000,1,1,
290000,300000,,2,
150000,300000,,2,
345000,300000,,2,
200000,280000,1,1,
400000,350000,1,1,
280000,300000,1,1,
,329990,,1,
,270000,,1,
,320000,,1,
,320000,,1,
,350000,,1,
